FullPath,Directory,FileName,ShortFileName,CreationTime,LastAccessTime,LastWriteTime,Size,AttributeArchive,AttributeCompressed,AttributeEncrypted,AttributeHidden,AttributeNormal,AttributeOffline,AttributeReadonly,AttributeReparsePoint,AttributeSparseFile,AttributeSystem,AttributeTemporary
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\Apr.25.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\Apr.25.2019\,GENERIC_3008.log,,4/10/2019 17:42,8/29/2019 14:03,4/25/2019 16:57,295726361,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\Apr.25.2019.2\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\Apr.25.2019.2\,GENERIC_3008.log,,4/25/2019 17:05,8/29/2019 14:03,4/25/2019 17:29,5538,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\April 5 2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\April 5 2019\,GENERIC_3008.log,,3/29/2019 18:43,6/28/2019 4:22,4/5/2019 13:51,116631090,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\April 5 2019.1\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\April 5 2019.1\,GENERIC_3008.log,,4/5/2019 14:38,4/7/2019 0:01,4/5/2019 21:57,806991,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\April.10.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Apr\April.10.2019\,GENERIC_3008.log,,4/6/2019 23:09,8/29/2019 14:03,4/10/2019 16:28,71183814,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Aug\Aug.23.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Aug\Aug.23.2019\,GENERIC_3008.log,,8/9/2019 18:12,9/4/2019 7:22,8/23/2019 15:34,321781070,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Aug\Aug.9.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Aug\Aug.9.2019\,GENERIC_3008.log,,7/31/2019 19:28,8/29/2019 14:04,8/9/2019 15:33,226191064,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Aug\Aug.9.2019.2\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Aug\Aug.9.2019.2\,GENERIC_3008.log,,8/9/2019 17:13,8/29/2019 14:04,8/9/2019 17:14,6413,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.01-2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.01-2019\,GENERIC_3008.log,,2/1/2019 17:48,8/29/2019 14:04,2/1/2019 16:38,40361541,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.08-2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.08-2019\,GENERIC_3008.log,,2/1/2019 17:49,8/29/2019 14:04,2/8/2019 15:42,145223296,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
